"Name","Region","Electorate_05","CON_05","LAB_05","LIB_05","NAT_05","MIN_05","OTH_05","Abstained_05","Winner_05","CON_share_05","LAB_share_05","LIB_share_05","NAT_share_05","MIN_share_05","OTH_share_05","CON_share_all_05","LAB_share_all_05","LIB_share_all_05","NAT_share_all_05","MIN_share_all_05","OTH_share_all_05","Abstained_share_all_05","Electorate_10","CON_10","LAB_10","LIB_10","NAT_10","MIN_10","OTH_10","Abstained_10","Winner_10","CON_share_10","LAB_share_10","LIB_share_10","NAT_share_10","MIN_share_10","OTH_share_10","CON_share_all_10","LAB_share_all_10","LIB_share_all_10","NAT_share_all_10","MIN_share_all_10","OTH_share_all_10","Abstained_share_all_10"
"Amber Valley",10,68794,14657,20263,5242,0,0,3093,25539,"LAB",33.8850999884406,46.8454513929026,12.1188301930413,0,0,7.15061842561554,21.3056371195162,29.4546035991511,7.61985056836352,0,0,4.49603163066547,37.1238770823037,70171,17746,17210,6636,0,3195,1171,24213,"CON",38.613516689151,37.4472344314374,14.439270638409,0,6.95199965185604,2.54797858914661,25.2896495703353,24.5258012569295,9.45689814880791,0,4.55316298755896,1.66878055036981,34.5057074859985
"Angus",1,63093,11239,6850,6660,12840,0,556,24948,"NAT",29.4638877965657,17.9577926333727,17.4596932756587,33.6610302791978,0,1.45759601520514,17.8133865880526,10.8569888894172,10.5558461319005,20.350910560601,0,0.881238806206711,39.541629023822,62863,11738,6535,4090,15020,0,577,24903,"NAT",30.9220231822972,17.2154899894626,10.7744994731296,39.567966280295,0,1.5200210748156,18.6723509854764,10.3956222261107,6.50621192116189,23.8932281310151,0,0.917869016750712,39.6147177194852
"Antrim East",3,58335,8462,1695,15766,828,4869,147,26568,"LIB",26.6377057953222,5.33572575314005,49.6301193061983,2.60647842100293,15.3272263669846,0.462744357351969,14.5058712608211,2.90563126767807,27.0266563812463,1.41938801748521,8.34661866803806,0.251992800205708,45.5438416045256,60204,7223,2019,13993,2064,3377,1826,29702,"LIB",23.6804143990558,6.61923808274867,45.8756802832601,6.76676939217101,11.0714051537604,5.986492689004,11.997541691582,3.35359776759019,23.2426416849379,3.42834363165238,5.60926184306691,3.03302106172347,49.3355923194472
"Antrim North",3,74450,6637,5585,25156,7191,1357,0,28524,"LIB",14.4515089491791,12.1608674824718,54.7750729434307,15.6577973261333,2.954753298785,0,8.91470785762256,7.50167897918066,33.7891202149093,9.65883143049026,1.8226997985225,0,38.3129617192747,73338,4634,3738,19672,5265,7114,1974,30941,"LIB",10.9300186333939,8.81666155624219,46.39950939925,12.4183314857183,16.7794891147959,4.65598981059981,6.31868881071205,5.09694837601244,26.8237475796995,7.17908860345251,9.70029179961275,2.69164689519758,42.1895879353132
"Antrim South",3,66931,11059,4706,14507,4407,3278,0,28974,"LIB",29.1356008114445,12.398240113813,38.2195642437495,11.6105066259188,8.63608820507416,0,16.5229863590862,7.03112160284472,21.6745603681403,6.58439288222199,4.89758109097429,0,43.2893576967325,63054,10353,2955,11536,4729,2607,1829,29045,"LIB",30.441941838925,8.68887647387456,33.9204328266047,13.9051427563292,7.665617924667,5.37798817959952,16.4192596821772,4.68645922542583,18.2954293145558,7.49992070288959,4.13455133694928,2.90068829891839,46.063691439084
"Arfon",12,42304,3898,9223,3216,8968,0,581,16418,"LAB",15.0583326894847,35.629297689871,12.4237039326277,34.6442092250637,0,2.24445646295295,9.214258698941,21.8017208774584,7.60211800302572,21.1989409984871,0,1.37339258698941,38.8095688350983,41198,4416,7928,3666,9383,0,685,15120,"NAT",16.933813942787,30.4011043791702,14.0578265204387,35.980519978526,0,2.62673517907815,10.7189669401427,19.2436526044954,8.89849021797175,22.7753774455071,0,1.66270207291616,36.7008107189669
"Argyll and Bute",2,67325,10150,9696,15786,6716,0,881,24096,"LIB",23.4796085960813,22.429387679567,36.5171528372158,15.5358671262347,0,2.03798376090125,15.0761232825845,14.4017823988117,23.4474563683624,9.97549201633866,0,1.30857779428147,35.7905681396212,67165,10861,10274,14292,8563,0,1217,21958,"LIB",24.0250403698542,22.7265688941978,31.6145729643639,18.941756807574,0,2.69206096401,16.1706245812551,15.2966574852974,21.2789399240676,12.7491997320033,0,1.81195563165339,32.6926226457232
"Arundel and South Downs",20,73543,25666,8327,13251,0,0,3022,23277,"CON",51.0603588907015,16.565869573867,26.3617554609478,0,0,6.01201607448375,34.8993106073998,11.3226275784235,18.0180302680065,0,0,4.10916062711611,31.6508709190542,77564,32333,4835,15642,0,3172,0,21582,"CON",57.7560644492873,8.6367046550677,27.9411239326927,0,5.66610696295238,0,41.6855757825795,6.23356196173483,20.1665721210871,0,4.0895260687948,0,27.8247640658037
"Ashfield",10,74580,10484,20863,5945,0,0,5568,31720,"LAB",24.4610359309379,48.6770881941204,13.8707419505366,0,0,12.991133924405,14.0573880396889,27.9739876642532,7.97130598015554,0,0,7.46580852775543,42.531509788147,77379,10698,16239,16047,0,2781,2431,29183,"LAB",22.1968628101917,33.6936675242759,33.2952942152876,0,5.77018839737738,5.04398705286746,13.8254565192106,20.9863141162331,20.738184778816,0,3.59399837165122,3.14167926698458,37.7143669471045
"Ashford",20,75580,24933,13121,7837,0,0,3246,26443,"CON",50.741803528909,26.7028919144433,15.9492846531127,0,0,6.60601990353501,32.9888859486637,17.3604128076211,10.3691452765282,0,0,4.29478698068272,34.9867689865044,81269,29878,9204,12581,0,2508,1014,26084,"CON",54.1415239648455,16.678445229682,22.7978617377911,0,4.54471323729274,1.83745583038869,36.7643258807171,11.325351610085,15.4806875930552,0,3.0860475704143,1.24770822822971,32.0958791174987
"Ashton under Lyne",6,67113,6984,20380,3811,0,0,3289,32649,"LAB",20.2646239554318,59.1341689879294,11.0579155060353,0,0,9.54329155060353,10.4063296231729,30.3666949771281,5.67848255926572,0,0,4.90068988124506,48.6478029591882,67564,9510,18604,5703,0,2929,1686,29132,"LAB",24.7450041631973,48.4075770191507,14.8391965029142,0,7.621253122398,4.38696919233972,14.0755431886804,27.5353738677402,8.44088567876384,0,4.3351488958617,2.49541175774081,43.1176366112131
"Aylesbury",14,76262,22716,8840,13963,0,0,2490,28253,"CON",47.3161282259576,18.4132141890062,29.0841300589473,0,0,5.18652752608886,29.7867876530907,11.5916183682568,18.3092496918518,0,0,3.26505992499541,37.0472843618054,77934,27736,6695,15118,0,3613,0,24772,"CON",52.1726044919303,12.5935818817953,28.4376058086603,0,6.79620781761408,0,35.5890882028383,8.59060230451408,19.398465368132,0,4.63597402930685,0,31.7858700952088
"Ayr Carrick and Cumnock",2,73448,10436,20433,6341,5932,0,1906,28400,"LAB",23.1664002841414,45.358284496537,14.0760966080625,13.1681761676434,0,4.2310424436157,14.2086918636314,27.8196819518571,8.63331881058708,8.07646225901318,0,2.59503322078205,38.6668118941292,73320,11721,21632,4264,8276,0,0,27427,"LAB",25.5398426775325,47.1357287603774,9.29117730372824,18.0332512583618,0,0,15.9860883797054,29.5035460992908,5.81560283687943,11.2875068194217,0,0,37.4072558647027
"Ayrshire Central",2,68643,9482,19905,6881,4969,0,1634,25772,"LAB",22.1175153367078,46.4299876373306,16.0504770124326,11.5905857106202,0,3.81143430290873,13.8134988272657,28.9978584852061,10.0243287735093,7.23890272861035,0,2.38043209067203,37.5449790947365,68352,8943,20950,5236,8364,0,422,24437,"LAB",20.3643402026642,47.7057952863486,11.9230331321872,19.045884094273,0,0.960947284526927,13.0837429775281,30.6501638576779,7.66034644194757,12.2366573033708,0,0.617392322097378,35.7516970973783
