"Market","date_char","Outcome","Back","Lay","Matched"
"2015 UK General Election - Electoral Bias?","14/01/2015 11:21:19","Lab fewer votes Lab more seats",2.36,4,"1303"
"2015 UK General Election - Electoral Bias?","14/01/2015 11:21:19","Lab more votes Lab more seats",2.58,5,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 12:26:40","Lab more votes Lab more seats",2.6,5,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 12:26:40","Con more votes Con more seats",2.12,3.15,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 12:26:40","Lab fewer votes Lab more seats",3,4,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 12:26:40","Con fewer votes Con more seats",20,95,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 19:47:47","Lab fewer votes Lab more seats",3,4,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 19:47:47","Lab more votes Lab more seats",2.62,5,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 19:47:47","Con fewer votes Con more seats",20,95,"1303"
"2015 UK General Election - Electoral Bias?","15/01/2015 19:47:47","Con more votes Con more seats",2.12,3.15,"1303"
"2015 UK General Election - Electoral Bias?","16/01/2015 17:04:54","Lab more votes Lab more seats",2.62,5,"1343"
"2015 UK General Election - Electoral Bias?","16/01/2015 17:04:54","Con fewer votes Con more seats",20,95,"1343"
"2015 UK General Election - Electoral Bias?","16/01/2015 17:04:54","Lab fewer votes Lab more seats",3,4,"1343"
"2015 UK General Election - Electoral Bias?","16/01/2015 17:04:54","Con more votes Con more seats",1.87,3,"1343"
"2015 UK General Election - Most Seats","01/06/2014 20:46:19","Any Other",95,160,NA
"2015 UK General Election - Most Seats","01/06/2014 20:46:19","Conservative",2.1,2.14,NA
"2015 UK General Election - Most Seats","01/06/2014 20:46:19","Labour",1.9,1.93,NA
"2015 UK General Election - Most Seats","01/06/2014 20:46:19","Liberal Democrat",430,960,NA
"2015 UK General Election - Most Seats","01/07/2014 16:44:13","Any Other",140,180,NA
"2015 UK General Election - Most Seats","01/07/2014 16:44:13","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","01/07/2014 16:44:13","Labour",1.92,1.95,NA
"2015 UK General Election - Most Seats","01/07/2014 16:44:13","Liberal Democrat",95,710,NA
"2015 UK General Election - Most Seats","01/07/2014 17:55:48","Any Other",140,180,NA
"2015 UK General Election - Most Seats","01/07/2014 17:55:48","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","01/07/2014 17:55:48","Labour",1.92,1.95,NA
"2015 UK General Election - Most Seats","01/07/2014 17:55:48","Liberal Democrat",95,1000,NA
"2015 UK General Election - Most Seats","01/07/2014 20:47:43","Any Other",140,180,NA
"2015 UK General Election - Most Seats","01/07/2014 20:47:43","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","01/07/2014 20:47:43","Labour",1.92,1.95,NA
"2015 UK General Election - Most Seats","01/07/2014 20:47:43","Liberal Democrat",95,1000,NA
"2015 UK General Election - Most Seats","01/07/2014 23:50:21","Any Other",140,170,NA
"2015 UK General Election - Most Seats","01/07/2014 23:50:21","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","01/07/2014 23:50:21","Labour",1.92,1.95,NA
"2015 UK General Election - Most Seats","01/07/2014 23:50:21","Liberal Democrat",95,1000,NA
"2015 UK General Election - Most Seats","01/09/2014 23:51:04","Any Other",95,120,NA
"2015 UK General Election - Most Seats","01/09/2014 23:51:04","Conservative",2.4,2.44,NA
"2015 UK General Election - Most Seats","01/09/2014 23:51:04","Labour",1.72,1.74,NA
"2015 UK General Election - Most Seats","01/09/2014 23:51:04","Liberal Democrat",780,1000,NA
"2015 UK General Election - Most Seats","01/10/2014 08:02:07","Any Other",85,100,NA
"2015 UK General Election - Most Seats","01/10/2014 08:02:07","Conservative",2.4,2.42,NA
"2015 UK General Election - Most Seats","01/10/2014 08:02:07","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","01/10/2014 08:02:07","Liberal Democrat",870,1000,NA
"2015 UK General Election - Most Seats","01/11/2014 11:18:53","Any Other",55,70,NA
"2015 UK General Election - Most Seats","01/11/2014 11:18:53","Conservative",2.26,2.28,NA
"2015 UK General Election - Most Seats","01/11/2014 11:18:53","Labour",1.83,1.84,NA
"2015 UK General Election - Most Seats","01/11/2014 11:18:53","Liberal Democrat",270,NA,NA
"2015 UK General Election - Most Seats","01/11/2014 12:35:36","Any Other",55,70,NA
"2015 UK General Election - Most Seats","01/11/2014 12:35:36","Conservative",2.26,2.28,NA
"2015 UK General Election - Most Seats","01/11/2014 12:35:36","Labour",1.83,1.84,NA
"2015 UK General Election - Most Seats","01/11/2014 12:35:36","Liberal Democrat",270,NA,NA
"2015 UK General Election - Most Seats","01/12/2014 10:21:06","Any Other",70,80,NA
"2015 UK General Election - Most Seats","01/12/2014 10:21:06","Conservative",2.16,2.18,NA
"2015 UK General Election - Most Seats","01/12/2014 10:21:06","Labour",1.89,1.91,NA
"2015 UK General Election - Most Seats","01/12/2014 10:21:06","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","01/12/2014 17:00:27","Any Other",70,80,NA
"2015 UK General Election - Most Seats","01/12/2014 17:00:27","Conservative",2.16,2.18,NA
"2015 UK General Election - Most Seats","01/12/2014 17:00:27","Labour",1.89,1.91,NA
"2015 UK General Election - Most Seats","01/12/2014 17:00:27","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","02/06/2014 10:54:39","Any Other",95,160,NA
"2015 UK General Election - Most Seats","02/06/2014 10:54:39","Conservative",2.1,2.14,NA
"2015 UK General Election - Most Seats","02/06/2014 10:54:39","Labour",1.9,1.93,NA
"2015 UK General Election - Most Seats","02/06/2014 10:54:39","Liberal Democrat",430,960,NA
"2015 UK General Election - Most Seats","02/06/2014 19:24:07","Any Other",95,150,NA
"2015 UK General Election - Most Seats","02/06/2014 19:24:07","Conservative",2.12,2.16,NA
"2015 UK General Election - Most Seats","02/06/2014 19:24:07","Labour",1.9,1.93,NA
"2015 UK General Election - Most Seats","02/06/2014 19:24:07","Liberal Democrat",430,960,NA
"2015 UK General Election - Most Seats","02/07/2014 13:22:33","Any Other",140,170,NA
"2015 UK General Election - Most Seats","02/07/2014 13:22:33","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","02/07/2014 13:22:33","Labour",1.93,1.95,NA
"2015 UK General Election - Most Seats","02/07/2014 13:22:33","Liberal Democrat",100,1000,NA
"2015 UK General Election - Most Seats","02/09/2014 13:17:31","Any Other",95,120,NA
"2015 UK General Election - Most Seats","02/09/2014 13:17:31","Conservative",2.38,2.44,NA
"2015 UK General Election - Most Seats","02/09/2014 13:17:31","Labour",1.73,1.75,NA
"2015 UK General Election - Most Seats","02/09/2014 13:17:31","Liberal Democrat",800,1000,NA
"2015 UK General Election - Most Seats","02/09/2014 21:16:29","Any Other",95,120,NA
"2015 UK General Election - Most Seats","02/09/2014 21:16:29","Conservative",2.42,2.44,NA
"2015 UK General Election - Most Seats","02/09/2014 21:16:29","Labour",1.72,1.73,NA
"2015 UK General Election - Most Seats","02/09/2014 21:16:29","Liberal Democrat",800,1000,NA
"2015 UK General Election - Most Seats","02/10/2014 12:52:42","Any Other",75,100,NA
"2015 UK General Election - Most Seats","02/10/2014 12:52:42","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","02/10/2014 12:52:42","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","02/10/2014 12:52:42","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","02/10/2014 19:45:38","Any Other",75,100,NA
"2015 UK General Election - Most Seats","02/10/2014 19:45:38","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","02/10/2014 19:45:38","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","02/10/2014 19:45:38","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","02/11/2014 10:07:57","Any Other",50,65,NA
"2015 UK General Election - Most Seats","02/11/2014 10:07:57","Conservative",2.28,2.3,NA
"2015 UK General Election - Most Seats","02/11/2014 10:07:57","Labour",1.82,1.84,NA
"2015 UK General Election - Most Seats","02/11/2014 10:07:57","Liberal Democrat",320,1000,NA
"2015 UK General Election - Most Seats","02/11/2014 15:30:52","Any Other",50,65,NA
"2015 UK General Election - Most Seats","02/11/2014 15:30:52","Conservative",2.28,2.3,NA
"2015 UK General Election - Most Seats","02/11/2014 15:30:52","Labour",1.82,1.84,NA
"2015 UK General Election - Most Seats","02/11/2014 15:30:52","Liberal Democrat",320,1000,NA
"2015 UK General Election - Most Seats","02/12/2014 14:08:39","Any Other",70,90,NA
"2015 UK General Election - Most Seats","02/12/2014 14:08:39","Conservative",2.16,2.18,NA
"2015 UK General Election - Most Seats","02/12/2014 14:08:39","Labour",1.89,1.9,NA
"2015 UK General Election - Most Seats","02/12/2014 14:08:39","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","02/12/2014 19:28:32","Any Other",70,90,NA
"2015 UK General Election - Most Seats","02/12/2014 19:28:32","Conservative",2.16,2.18,NA
"2015 UK General Election - Most Seats","02/12/2014 19:28:32","Labour",1.89,1.9,NA
"2015 UK General Election - Most Seats","02/12/2014 19:28:32","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","03/06/2014 08:25:46","Any Other",95,150,NA
"2015 UK General Election - Most Seats","03/06/2014 08:25:46","Conservative",2.1,2.12,NA
"2015 UK General Election - Most Seats","03/06/2014 08:25:46","Labour",1.92,1.93,NA
"2015 UK General Election - Most Seats","03/06/2014 08:25:46","Liberal Democrat",430,970,NA
"2015 UK General Election - Most Seats","03/07/2014 09:36:08","Any Other",140,180,NA
"2015 UK General Election - Most Seats","03/07/2014 09:36:08","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","03/07/2014 09:36:08","Labour",1.93,1.95,NA
"2015 UK General Election - Most Seats","03/07/2014 09:36:08","Liberal Democrat",100,1000,NA
"2015 UK General Election - Most Seats","03/07/2014 13:47:49","Any Other",140,180,NA
