"Market","date_char","Outcome","Back","Lay","Matched"
"2015 UK General Election - Most Seats","12/06/2014 10:22:25","Any Other",120,180,NA
"2015 UK General Election - Most Seats","12/06/2014 10:22:25","Conservative",2.02,2.1,NA
"2015 UK General Election - Most Seats","12/06/2014 10:22:25","Labour",1.94,1.99,NA
"2015 UK General Election - Most Seats","12/06/2014 10:22:25","Liberal Democrat",480,830,NA
"2015 UK General Election - Most Seats","12/06/2014 19:19:27","Any Other",120,180,NA
"2015 UK General Election - Most Seats","12/06/2014 19:19:27","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","12/06/2014 19:19:27","Labour",1.93,1.99,NA
"2015 UK General Election - Most Seats","12/06/2014 19:19:27","Liberal Democrat",470,800,NA
"2015 UK General Election - Most Seats","12/07/2014 16:45:38","Any Other",100,180,NA
"2015 UK General Election - Most Seats","12/07/2014 16:45:38","Conservative",2.08,2.16,NA
"2015 UK General Election - Most Seats","12/07/2014 16:45:38","Labour",1.9,1.94,NA
"2015 UK General Election - Most Seats","12/07/2014 16:45:38","Liberal Democrat",250,1000,NA
"2015 UK General Election - Most Seats","12/07/2014 19:20:08","Any Other",100,180,NA
"2015 UK General Election - Most Seats","12/07/2014 19:20:08","Conservative",2.1,2.18,NA
"2015 UK General Election - Most Seats","12/07/2014 19:20:08","Labour",1.87,1.94,NA
"2015 UK General Election - Most Seats","12/07/2014 19:20:08","Liberal Democrat",250,1000,NA
"2015 UK General Election - Most Seats","12/08/2014 10:41:11","Any Other",95,140,NA
"2015 UK General Election - Most Seats","12/08/2014 10:41:11","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","12/08/2014 10:41:11","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","12/08/2014 10:41:11","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","12/08/2014 19:40:25","Any Other",95,140,NA
"2015 UK General Election - Most Seats","12/08/2014 19:40:25","Conservative",2.2,2.22,NA
"2015 UK General Election - Most Seats","12/08/2014 19:40:25","Labour",1.85,1.86,NA
"2015 UK General Election - Most Seats","12/08/2014 19:40:25","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","12/09/2014 08:48:55","Any Other",90,120,NA
"2015 UK General Election - Most Seats","12/09/2014 08:48:55","Conservative",2.3,2.32,NA
"2015 UK General Election - Most Seats","12/09/2014 08:48:55","Labour",1.79,1.81,NA
"2015 UK General Election - Most Seats","12/09/2014 08:48:55","Liberal Democrat",410,1000,NA
"2015 UK General Election - Most Seats","12/09/2014 14:23:27","Any Other",90,120,NA
"2015 UK General Election - Most Seats","12/09/2014 14:23:27","Conservative",2.28,2.32,NA
"2015 UK General Election - Most Seats","12/09/2014 14:23:27","Labour",1.79,1.81,NA
"2015 UK General Election - Most Seats","12/09/2014 14:23:27","Liberal Democrat",410,1000,NA
"2015 UK General Election - Most Seats","12/10/2014 13:27:33","Any Other",70,95,NA
"2015 UK General Election - Most Seats","12/10/2014 13:27:33","Conservative",2.28,2.3,NA
"2015 UK General Election - Most Seats","12/10/2014 13:27:33","Labour",1.8,1.82,NA
"2015 UK General Election - Most Seats","12/10/2014 13:27:33","Liberal Democrat",880,NA,NA
"2015 UK General Election - Most Seats","12/11/2014 08:56:35","Any Other",60,65,NA
"2015 UK General Election - Most Seats","12/11/2014 08:56:35","Conservative",2.2,2.22,NA
"2015 UK General Election - Most Seats","12/11/2014 08:56:35","Labour",1.88,1.9,NA
"2015 UK General Election - Most Seats","12/11/2014 08:56:35","Liberal Democrat",810,1000,NA
"2015 UK General Election - Most Seats","12/12/2014 19:54:42","Any Other",100,120,NA
"2015 UK General Election - Most Seats","12/12/2014 19:54:42","Conservative",2.12,2.16,NA
"2015 UK General Election - Most Seats","12/12/2014 19:54:42","Labour",1.91,1.93,NA
"2015 UK General Election - Most Seats","12/12/2014 19:54:42","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","12/12/2014 23:48:45","Any Other",100,120,NA
"2015 UK General Election - Most Seats","12/12/2014 23:48:45","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","12/12/2014 23:48:45","Labour",1.92,1.93,NA
"2015 UK General Election - Most Seats","12/12/2014 23:48:45","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","13/06/2014 13:05:16","Any Other",120,180,NA
"2015 UK General Election - Most Seats","13/06/2014 13:05:16","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","13/06/2014 13:05:16","Labour",1.93,1.98,NA
"2015 UK General Election - Most Seats","13/06/2014 13:05:16","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","13/07/2014 12:57:03","Any Other",140,180,NA
"2015 UK General Election - Most Seats","13/07/2014 12:57:03","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","13/07/2014 12:57:03","Labour",1.9,1.91,NA
"2015 UK General Election - Most Seats","13/07/2014 12:57:03","Liberal Democrat",620,960,NA
"2015 UK General Election - Most Seats","13/08/2014 19:25:40","Any Other",95,140,NA
"2015 UK General Election - Most Seats","13/08/2014 19:25:40","Conservative",2.2,2.22,NA
"2015 UK General Election - Most Seats","13/08/2014 19:25:40","Labour",1.85,1.86,NA
"2015 UK General Election - Most Seats","13/08/2014 19:25:40","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","13/09/2014 11:19:26","Any Other",90,120,NA
"2015 UK General Election - Most Seats","13/09/2014 11:19:26","Conservative",2.28,2.32,NA
"2015 UK General Election - Most Seats","13/09/2014 11:19:26","Labour",1.8,1.81,NA
"2015 UK General Election - Most Seats","13/09/2014 11:19:26","Liberal Democrat",410,1000,NA
"2015 UK General Election - Most Seats","13/09/2014 19:54:28","Any Other",90,120,NA
"2015 UK General Election - Most Seats","13/09/2014 19:54:28","Conservative",2.3,2.32,NA
"2015 UK General Election - Most Seats","13/09/2014 19:54:28","Labour",1.78,1.79,NA
"2015 UK General Election - Most Seats","13/09/2014 19:54:28","Liberal Democrat",420,1000,NA
"2015 UK General Election - Most Seats","13/11/2014 08:07:49","Any Other",55,65,NA
"2015 UK General Election - Most Seats","13/11/2014 08:07:49","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","13/11/2014 08:07:49","Labour",1.94,1.96,NA
"2015 UK General Election - Most Seats","13/11/2014 08:07:49","Liberal Democrat",850,NA,NA
"2015 UK General Election - Most Seats","13/12/2014 09:26:55","Any Other",110,160,NA
"2015 UK General Election - Most Seats","13/12/2014 09:26:55","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","13/12/2014 09:26:55","Labour",1.92,1.93,NA
"2015 UK General Election - Most Seats","13/12/2014 09:26:55","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","13/12/2014 13:22:19","Any Other",110,150,NA
"2015 UK General Election - Most Seats","13/12/2014 13:22:19","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","13/12/2014 13:22:19","Labour",1.92,1.93,NA
"2015 UK General Election - Most Seats","13/12/2014 13:22:19","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","13/12/2014 21:31:10","Any Other",110,150,NA
"2015 UK General Election - Most Seats","13/12/2014 21:31:10","Conservative",2.1,2.12,NA
"2015 UK General Election - Most Seats","13/12/2014 21:31:10","Labour",1.93,1.94,NA
"2015 UK General Election - Most Seats","13/12/2014 21:31:10","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","14/01/2015 11:21:20","Liberal Democrat",860,1000,"780957"
"2015 UK General Election - Most Seats","14/01/2015 11:21:20","Any Other",100,150,"780957"
"2015 UK General Election - Most Seats","14/01/2015 11:21:20","Conservative",2.02,2.04,"780957"
"2015 UK General Election - Most Seats","14/01/2015 11:21:20","Labour",2,2.04,"780957"
"2015 UK General Election - Most Seats","14/06/2014 10:03:48","Any Other",120,180,NA
"2015 UK General Election - Most Seats","14/06/2014 10:03:48","Conservative",2.04,2.1,NA
"2015 UK General Election - Most Seats","14/06/2014 10:03:48","Labour",1.93,1.99,NA
"2015 UK General Election - Most Seats","14/06/2014 10:03:48","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","14/06/2014 22:03:55","Any Other",120,180,NA
"2015 UK General Election - Most Seats","14/06/2014 22:03:55","Conservative",2.04,2.1,NA
"2015 UK General Election - Most Seats","14/06/2014 22:03:55","Labour",1.95,1.99,NA
"2015 UK General Election - Most Seats","14/06/2014 22:03:55","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","14/08/2014 13:13:49","Any Other",95,140,NA
"2015 UK General Election - Most Seats","14/08/2014 13:13:49","Conservative",2.2,2.22,NA
"2015 UK General Election - Most Seats","14/08/2014 13:13:49","Labour",1.85,1.86,NA
"2015 UK General Election - Most Seats","14/08/2014 13:13:49","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","14/09/2014 10:02:15","Any Other",90,120,NA
"2015 UK General Election - Most Seats","14/09/2014 10:02:15","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","14/09/2014 10:02:15","Labour",1.78,1.8,NA
"2015 UK General Election - Most Seats","14/09/2014 10:02:15","Liberal Democrat",420,1000,NA
"2015 UK General Election - Most Seats","14/09/2014 14:56:28","Any Other",90,120,NA
"2015 UK General Election - Most Seats","14/09/2014 14:56:28","Conservative",2.3,2.34,NA
"2015 UK General Election - Most Seats","14/09/2014 14:56:28","Labour",1.79,1.81,NA
"2015 UK General Election - Most Seats","14/09/2014 14:56:28","Liberal Democrat",420,1000,NA
"2015 UK General Election - Most Seats","14/09/2014 20:14:41","Any Other",90,120,NA
"2015 UK General Election - Most Seats","14/09/2014 20:14:41","Conservative",2.28,2.32,NA
"2015 UK General Election - Most Seats","14/09/2014 20:14:41","Labour",1.78,1.82,NA
"2015 UK General Election - Most Seats","14/09/2014 20:14:41","Liberal Democrat",430,1000,NA
"2015 UK General Election - Most Seats","14/10/2014 09:24:16","Any Other",75,95,NA
"2015 UK General Election - Most Seats","14/10/2014 09:24:16","Conservative",2.3,2.32,NA
"2015 UK General Election - Most Seats","14/10/2014 09:24:16","Labour",1.8,1.81,NA
"2015 UK General Election - Most Seats","14/10/2014 09:24:16","Liberal Democrat",880,NA,NA
"2015 UK General Election - Most Seats","14/11/2014 10:17:57","Any Other",55,65,NA
"2015 UK General Election - Most Seats","14/11/2014 10:17:57","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","14/11/2014 10:17:57","Labour",1.94,1.95,NA
"2015 UK General Election - Most Seats","14/11/2014 10:17:57","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","14/12/2014 13:28:14","Any Other",120,160,NA
"2015 UK General Election - Most Seats","14/12/2014 13:28:14","Conservative",2.1,2.12,NA
"2015 UK General Election - Most Seats","14/12/2014 13:28:14","Labour",1.93,1.94,NA
"2015 UK General Election - Most Seats","14/12/2014 13:28:14","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","14/12/2014 15:50:59","Any Other",120,160,NA
"2015 UK General Election - Most Seats","14/12/2014 15:50:59","Conservative",2.1,2.12,NA
"2015 UK General Election - Most Seats","14/12/2014 15:50:59","Labour",1.93,1.94,NA
"2015 UK General Election - Most Seats","14/12/2014 15:50:59","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","15/01/2015 12:26:41","Any Other",110,150,"782356"
"2015 UK General Election - Most Seats","15/01/2015 12:26:41","Conservative",2,2.04,"782356"
"2015 UK General Election - Most Seats","15/01/2015 12:26:41","Labour",1.99,2.02,"782356"
"2015 UK General Election - Most Seats","15/01/2015 12:26:41","Liberal Democrat",860,1000,"782356"
"2015 UK General Election - Most Seats","15/01/2015 19:47:48","Labour",1.98,2,"785645"
"2015 UK General Election - Most Seats","15/01/2015 19:47:48","Any Other",120,150,"785645"
"2015 UK General Election - Most Seats","15/01/2015 19:47:48","Conservative",2.04,2.06,"785645"
"2015 UK General Election - Most Seats","15/01/2015 19:47:48","Liberal Democrat",860,1000,"785645"
"2015 UK General Election - Most Seats","15/06/2014 01:01:16","Any Other",120,180,NA
"2015 UK General Election - Most Seats","15/06/2014 01:01:16","Conservative",2.04,2.1,NA
"2015 UK General Election - Most Seats","15/06/2014 01:01:16","Labour",1.95,1.98,NA
"2015 UK General Election - Most Seats","15/06/2014 01:01:16","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","15/06/2014 12:01:01","Any Other",120,180,NA
"2015 UK General Election - Most Seats","15/06/2014 12:01:01","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","15/06/2014 12:01:01","Labour",1.93,1.98,NA
"2015 UK General Election - Most Seats","15/06/2014 12:01:01","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","15/06/2014 15:27:42","Any Other",120,180,NA
"2015 UK General Election - Most Seats","15/06/2014 15:27:42","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","15/06/2014 15:27:42","Labour",1.93,1.97,NA
"2015 UK General Election - Most Seats","15/06/2014 15:27:42","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","15/06/2014 22:19:04","Any Other",120,170,NA
"2015 UK General Election - Most Seats","15/06/2014 22:19:04","Conservative",2.06,2.12,NA
"2015 UK General Election - Most Seats","15/06/2014 22:19:04","Labour",1.93,1.97,NA
"2015 UK General Election - Most Seats","15/06/2014 22:19:04","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","15/07/2014 23:50:09","Any Other",120,180,NA
"2015 UK General Election - Most Seats","15/07/2014 23:50:09","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","15/07/2014 23:50:09","Labour",1.88,1.9,NA
"2015 UK General Election - Most Seats","15/07/2014 23:50:09","Liberal Democrat",250,1000,NA
"2015 UK General Election - Most Seats","15/08/2014 19:22:00","Any Other",95,140,NA
"2015 UK General Election - Most Seats","15/08/2014 19:22:00","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","15/08/2014 19:22:00","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","15/08/2014 19:22:00","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","15/10/2014 12:27:15","Any Other",70,95,NA
"2015 UK General Election - Most Seats","15/10/2014 12:27:15","Conservative",2.28,2.32,NA
"2015 UK General Election - Most Seats","15/10/2014 12:27:15","Labour",1.79,1.81,NA
"2015 UK General Election - Most Seats","15/10/2014 12:27:15","Liberal Democrat",930,NA,NA
"2015 UK General Election - Most Seats","15/11/2014 10:58:23","Any Other",55,65,NA
"2015 UK General Election - Most Seats","15/11/2014 10:58:23","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","15/11/2014 10:58:23","Labour",1.94,1.95,NA
"2015 UK General Election - Most Seats","15/11/2014 10:58:23","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","15/12/2014 20:02:52","Any Other",130,250,NA
"2015 UK General Election - Most Seats","15/12/2014 20:02:52","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","15/12/2014 20:02:52","Labour",1.92,1.95,NA
"2015 UK General Election - Most Seats","15/12/2014 20:02:52","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","16/01/2015 17:04:55","Conservative",2,2.04,"787472"
"2015 UK General Election - Most Seats","16/01/2015 17:04:55","Liberal Democrat",860,1000,"787472"
"2015 UK General Election - Most Seats","16/01/2015 17:04:55","Any Other",120,150,"787472"
"2015 UK General Election - Most Seats","16/01/2015 17:04:55","Labour",2,2.04,"787472"
"2015 UK General Election - Most Seats","16/06/2014 00:54:42","Any Other",120,170,NA
"2015 UK General Election - Most Seats","16/06/2014 00:54:42","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 00:54:42","Labour",1.93,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 00:54:42","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 09:08:24","Any Other",120,170,NA
"2015 UK General Election - Most Seats","16/06/2014 09:08:24","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 09:08:24","Labour",1.93,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 09:08:24","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 12:14:42","Any Other",130,170,NA
"2015 UK General Election - Most Seats","16/06/2014 12:14:42","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 12:14:42","Labour",1.93,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 12:14:42","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 15:08:29","Any Other",130,170,NA
"2015 UK General Election - Most Seats","16/06/2014 15:08:29","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 15:08:29","Labour",1.92,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 15:08:29","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 17:00:49","Any Other",130,170,NA
"2015 UK General Election - Most Seats","16/06/2014 17:00:49","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 17:00:49","Labour",1.92,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 17:00:49","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 19:45:28","Any Other",130,170,NA
"2015 UK General Election - Most Seats","16/06/2014 19:45:28","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 19:45:28","Labour",1.91,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 19:45:28","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/06/2014 22:04:18","Any Other",130,170,NA
"2015 UK General Election - Most Seats","16/06/2014 22:04:18","Conservative",2.04,2.12,NA
"2015 UK General Election - Most Seats","16/06/2014 22:04:18","Labour",1.91,1.98,NA
"2015 UK General Election - Most Seats","16/06/2014 22:04:18","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","16/08/2014 08:39:25","Any Other",95,140,NA
"2015 UK General Election - Most Seats","16/08/2014 08:39:25","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","16/08/2014 08:39:25","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","16/08/2014 08:39:25","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","16/08/2014 14:56:57","Any Other",110,140,NA
"2015 UK General Election - Most Seats","16/08/2014 14:56:57","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","16/08/2014 14:56:57","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","16/08/2014 14:56:57","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","16/08/2014 17:27:55","Any Other",110,140,NA
"2015 UK General Election - Most Seats","16/08/2014 17:27:55","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","16/08/2014 17:27:55","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","16/08/2014 17:27:55","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","16/08/2014 21:34:44","Any Other",110,140,NA
"2015 UK General Election - Most Seats","16/08/2014 21:34:44","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","16/08/2014 21:34:44","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","16/08/2014 21:34:44","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","16/09/2014 10:45:18","Any Other",95,120,NA
"2015 UK General Election - Most Seats","16/09/2014 10:45:18","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","16/09/2014 10:45:18","Labour",1.77,1.78,NA
"2015 UK General Election - Most Seats","16/09/2014 10:45:18","Liberal Democrat",450,1000,NA
"2015 UK General Election - Most Seats","16/10/2014 12:09:43","Any Other",70,85,NA
"2015 UK General Election - Most Seats","16/10/2014 12:09:43","Conservative",2.28,2.32,NA
"2015 UK General Election - Most Seats","16/10/2014 12:09:43","Labour",1.8,1.81,NA
"2015 UK General Election - Most Seats","16/10/2014 12:09:43","Liberal Democrat",960,NA,NA
"2015 UK General Election - Most Seats","16/10/2014 22:38:47","Any Other",60,85,NA
"2015 UK General Election - Most Seats","16/10/2014 22:38:47","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","16/10/2014 22:38:47","Labour",1.78,1.8,NA
"2015 UK General Election - Most Seats","16/10/2014 22:38:47","Liberal Democrat",260,NA,NA
"2015 UK General Election - Most Seats","16/11/2014 15:10:28","Any Other",55,65,NA
"2015 UK General Election - Most Seats","16/11/2014 15:10:28","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","16/11/2014 15:10:28","Labour",1.93,1.95,NA
"2015 UK General Election - Most Seats","16/11/2014 15:10:28","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","16/12/2014 19:56:29","Any Other",120,250,NA
"2015 UK General Election - Most Seats","16/12/2014 19:56:29","Conservative",2.08,2.1,NA
"2015 UK General Election - Most Seats","16/12/2014 19:56:29","Labour",1.95,1.97,NA
"2015 UK General Election - Most Seats","16/12/2014 19:56:29","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","17/06/2014 10:15:21","Any Other",130,170,NA
"2015 UK General Election - Most Seats","17/06/2014 10:15:21","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","17/06/2014 10:15:21","Labour",1.93,1.97,NA
"2015 UK General Election - Most Seats","17/06/2014 10:15:21","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","17/06/2014 15:49:48","Any Other",130,170,NA
"2015 UK General Election - Most Seats","17/06/2014 15:49:48","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","17/06/2014 15:49:48","Labour",1.93,1.96,NA
"2015 UK General Election - Most Seats","17/06/2014 15:49:48","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","17/06/2014 21:59:21","Any Other",130,170,NA
"2015 UK General Election - Most Seats","17/06/2014 21:59:21","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","17/06/2014 21:59:21","Labour",1.93,1.96,NA
"2015 UK General Election - Most Seats","17/06/2014 21:59:21","Liberal Democrat",480,800,NA
"2015 UK General Election - Most Seats","17/08/2014 10:49:50","Any Other",95,140,NA
"2015 UK General Election - Most Seats","17/08/2014 10:49:50","Conservative",2.2,2.22,NA
"2015 UK General Election - Most Seats","17/08/2014 10:49:50","Labour",1.85,1.86,NA
"2015 UK General Election - Most Seats","17/08/2014 10:49:50","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","17/09/2014 00:18:08","Any Other",90,120,NA
"2015 UK General Election - Most Seats","17/09/2014 00:18:08","Conservative",2.32,2.36,NA
"2015 UK General Election - Most Seats","17/09/2014 00:18:08","Labour",1.76,1.79,NA
"2015 UK General Election - Most Seats","17/09/2014 00:18:08","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","17/09/2014 13:42:30","Any Other",90,120,NA
"2015 UK General Election - Most Seats","17/09/2014 13:42:30","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","17/09/2014 13:42:30","Labour",1.77,1.78,NA
"2015 UK General Election - Most Seats","17/09/2014 13:42:30","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","17/09/2014 20:58:19","Any Other",95,120,NA
"2015 UK General Election - Most Seats","17/09/2014 20:58:19","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","17/09/2014 20:58:19","Labour",1.77,1.79,NA
"2015 UK General Election - Most Seats","17/09/2014 20:58:19","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","17/09/2014 22:40:34","Any Other",95,120,NA
"2015 UK General Election - Most Seats","17/09/2014 22:40:34","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","17/09/2014 22:40:34","Labour",1.77,1.79,NA
"2015 UK General Election - Most Seats","17/09/2014 22:40:34","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","17/10/2014 15:24:16","Any Other",60,85,NA
"2015 UK General Election - Most Seats","17/10/2014 15:24:16","Conservative",2.32,2.34,NA
"2015 UK General Election - Most Seats","17/10/2014 15:24:16","Labour",1.79,1.8,NA
"2015 UK General Election - Most Seats","17/10/2014 15:24:16","Liberal Democrat",260,NA,NA
"2015 UK General Election - Most Seats","17/11/2014 10:13:09","Any Other",55,60,NA
"2015 UK General Election - Most Seats","17/11/2014 10:13:09","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","17/11/2014 10:13:09","Labour",1.93,1.94,NA
"2015 UK General Election - Most Seats","17/11/2014 10:13:09","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","17/11/2014 15:06:36","Any Other",50,60,NA
"2015 UK General Election - Most Seats","17/11/2014 15:06:36","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","17/11/2014 15:06:36","Labour",1.93,1.94,NA
"2015 UK General Election - Most Seats","17/11/2014 15:06:36","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","17/11/2014 21:23:21","Any Other",50,60,NA
"2015 UK General Election - Most Seats","17/11/2014 21:23:21","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","17/11/2014 21:23:21","Labour",1.94,1.96,NA
"2015 UK General Election - Most Seats","17/11/2014 21:23:21","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","17/12/2014 08:59:45","Any Other",110,250,NA
"2015 UK General Election - Most Seats","17/12/2014 08:59:45","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","17/12/2014 08:59:45","Labour",1.95,1.97,NA
"2015 UK General Election - Most Seats","17/12/2014 08:59:45","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","18/06/2014 12:15:21","Any Other",130,170,NA
"2015 UK General Election - Most Seats","18/06/2014 12:15:21","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","18/06/2014 12:15:21","Labour",1.91,1.96,NA
"2015 UK General Election - Most Seats","18/06/2014 12:15:21","Liberal Democrat",480,790,NA
"2015 UK General Election - Most Seats","18/06/2014 20:01:57","Any Other",130,170,NA
"2015 UK General Election - Most Seats","18/06/2014 20:01:57","Conservative",2.08,2.16,NA
"2015 UK General Election - Most Seats","18/06/2014 20:01:57","Labour",1.89,1.95,NA
"2015 UK General Election - Most Seats","18/06/2014 20:01:57","Liberal Democrat",440,840,NA
"2015 UK General Election - Most Seats","18/06/2014 22:25:35","Any Other",130,170,NA
"2015 UK General Election - Most Seats","18/06/2014 22:25:35","Conservative",2.08,2.16,NA
"2015 UK General Election - Most Seats","18/06/2014 22:25:35","Labour",1.89,1.95,NA
"2015 UK General Election - Most Seats","18/06/2014 22:25:35","Liberal Democrat",440,840,NA
"2015 UK General Election - Most Seats","18/07/2014 09:19:58","Any Other",100,180,NA
"2015 UK General Election - Most Seats","18/07/2014 09:19:58","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","18/07/2014 09:19:58","Labour",1.89,1.9,NA
"2015 UK General Election - Most Seats","18/07/2014 09:19:58","Liberal Democrat",260,1000,NA
"2015 UK General Election - Most Seats","18/08/2014 00:42:12","Any Other",95,140,NA
"2015 UK General Election - Most Seats","18/08/2014 00:42:12","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","18/08/2014 00:42:12","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","18/08/2014 00:42:12","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","18/08/2014 23:04:47","Any Other",95,140,NA
"2015 UK General Election - Most Seats","18/08/2014 23:04:47","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","18/08/2014 23:04:47","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","18/08/2014 23:04:47","Liberal Democrat",770,1000,NA
"2015 UK General Election - Most Seats","18/09/2014 08:44:11","Any Other",90,120,NA
