"Party","Seats","BPI"
"CON",306,248.283261802575
"LAB",258,148.651134273452
"LIB",57,148.651134273452
"DUP",8,37.8602084610668
"SNP",6,27.0999386879215
"SF",5,18.7308399754752
"PC",3,10.3617412630288
"SDLP",3,10.3617412630288
"ALI",1,0
"GRN",1,0
"IND",1,0
"SPK",1,0
