Name;MP;Region;County Area;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Brighton Kemptown;Desmond Turner;20;East Sussex;64019;13151;15266;6555;0;246;3391
Brighton Pavilion;David Lepper;20;East Sussex;69699;10343;15955;7070;0;9252;1799
Bristol East;Kerry McCarthy;15;Bristol area;66793;10919;18733;9219;0;0;2993
Bristol North West;Doug Naysmith;15;Bristol area;70469;14089;17858;11346;0;0;2369
Bristol South;Dawn Primarolo;15;Bristol area;73368;8612;21374;10339;0;0;3555
Bristol West;Stephen Williams;15;Bristol area;69860;8380;17709;18157;0;0;3539
Broadland;Unknown (new seat);13;Norfolk;72963;18344;10310;17828;0;0;2476
Bromley and Chislehurst;Eric Forth;17;Bromley;63531;18583;9658;10213;0;0;3327
Bromsgrove;Julie Kirkbride;11;Hereford and Worcestershire;70762;24389;14308;7198;0;0;1919
Broxbourne;Charles Walker;14;Hertfordshire;68106;21878;10369;4970;0;0;3410
Broxtowe;Nick Palmer;10;Nottinghamshire;69943;17894;20027;7720;0;0;2351
Buckingham;John Bercow;14;Buckinghamshire;72551;28827;10032;9049;0;0;1414
Burnley;Kitty Ussher;5;Lancashire;65869;4205;15000;9221;0;5786;4769
Burton;Janet Dean;11;Staffordshire;73772;16751;19045;5630;0;0;3539
Bury North;David Chaytor;6;Western Manchester;66469;15053;17386;6181;0;0;2255
Bury South;Ivan Lewis;6;Western Manchester;72697;11980;21486;7303;0;0;1952
Bury St Edmunds;David Ruffley;13;Suffolk;80135;24247;14509;10602;0;0;3531
Calder Valley;Christine McCafferty;7;West Yorkshire;71188;17024;18380;9032;0;0;3231
Camberwell and Peckham;Harriet Harman;17;Southwark;74567;3919;24519;7970;0;1068;2177
Camborne and Redruth;Julia Goldsworthy;18;Cornwall;60635;10030;12196;15008;0;0;3432
Cambridge;David Howarth;13;Cambridgeshire;75758;8603;15656;20655;0;0;2485
Cambridgeshire North East;Malcolm Moss;13;Cambridgeshire;78922;22546;13938;8280;0;0;2432
Cambridgeshire North West;Shailesh Vara;13;Cambridgeshire;84808;23953;13238;12321;0;0;2777
Cambridgeshire South;Andrew Lansley;13;Cambridgeshire;77923;24303;10415;15311;0;0;3035
Cambridgeshire South East;James Paice;13;Cambridgeshire;79396;24336;10868;16613;0;0;0
Cannock Chase;Tony Wright;11;Staffordshire;72404;12460;20994;5936;0;0;2168
Canterbury;Julian Brazier;20;Kent;70084;20530;12943;10059;0;0;2758
Carlisle;Eric Martlew;4;Cumbria;63761;13350;17803;5915;0;0;1133
Carshalton and Wallington;Tom Brake;17;Sutton;65858;15684;7236;16919;0;0;1966
Castle Point;Robert Spink;14;Essex;69482;22118;13918;4720;0;0;5048
Charnwood;Stephen Dorrell;10;Leicestershire;71705;22262;13234;8923;0;0;3161
Chatham and Aylesford;Jonathan Shaw;20;Kent;66737;14433;17985;5536;0;0;1910
Cheadle;Patsy Calton;6;Eastern Manchester;72123;19765;5009;23464;0;0;1109
Chelmsford;Simon Burns;14;Essex;78041;19634;12556;15787;0;0;981
Chelsea and Fulham;Unknown (new seat);16;Hammersmith and Fulham;61741;19116;9048;5271;0;0;2210
Cheltenham;Martin Horwood;15;Gloucestershire;76485;17886;5431;19200;0;2372;1887
Chesham and Amersham;Cheryl Gillan;14;Buckinghamshire;69961;25327;6266;12505;0;0;3055
Chester, City of;Christine Russell;11;Cheshire;68855;16264;17248;9707;0;0;1085
Chesterfield;Paul Holmes;10;Derbyshire;72033;3528;17464;20292;0;0;1691
Chichester;Andrew Tyrie;20;West Sussex;77862;24840;9719;14277;0;0;3062
Chingford and Woodford Green;Iain Duncan Smith;16;Waltham Forest;61386;20556;9915;6832;0;0;1347
Chippenham;Unknown (new seat);15;Wiltshire;69014;15493;8921;20674;0;0;1658
Chipping Barnet;Theresa Villiers;16;Barnet;71525;20825;15397;6960;0;0;2476
Chorley;Lindsay Hoyle;5;Lancashire;70648;15402;22089;6933;0;0;0
Christchurch;Christopher Chope;18;Dorset;66670;25904;7116;11474;0;0;1958
Cities of London and Westminster;Mark Field;16;City of Westminster;63802;15356;8155;6033;0;0;2593
Clacton;Douglas Carswell;14;Essex;68363;20035;14219;6059;0;0;2655
Cleethorpes;Shona McIsaac;8;Humber area;70745;16248;18889;6437;0;0;2017
Colchester;Bob Russell;14;Essex;72578;13153;8396;19694;0;0;0
Colne Valley;Kali Mountford;7;West Yorkshire;77180;16541;18108;12380;0;0;3613
Congleton;Lady Ann Winterton;11;Cheshire;72772;21188;12943;12551;0;0;0
Copeland;Jamie Reed;4;Cumbria;62032;13597;17513;5303;0;0;2278
Corby;Phil Hope;13;Northamptonshire;72999;19394;20913;6183;0;1278;757
Cornwall North;Dan Rogerson;18;Cornwall;65008;14106;5342;18638;0;2506;1355
Cornwall South East;Colin Breed;18;Cornwall;69077;16826;4973;20282;0;2521;1148
Cotswolds, The;Geoffrey Clifton-Brown;15;Gloucestershire;75128;24797;9273;14121;0;108;1967
Coventry North East;Bob Ainsworth;9;Coventry and Solihull;72368;7291;21776;6468;0;0;2934
Coventry North West;Geoffrey Robinson;9;Coventry and Solihull;70122;11153;19963;7702;0;0;2804
Coventry South;Jim Cunningham;9;Coventry and Solihull;69797;12533;19028;7114;0;0;2550
Crawley;Laura Moffatt;20;West Sussex;71912;16374;16412;6501;0;0;2686
Crewe and Nantwich;Gwyneth Dunwoody;11;Cheshire;75560;14606;22050;8038;0;0;753
Croydon Central;Unknown (changed seat);17;Croydon;75166;18490;18711;5744;0;0;2585
Croydon North;Malcolm Wicks;17;Croydon;86176;10119;24259;7791;0;0;3119
Croydon South;Richard Ottaway;17;Croydon;80151;26355;12274;10458;0;0;1795
Dagenham and Rainham;Jon Cruddas;16;Barking and Dagenham;70745;13802;19756;3036;0;1178;2048
Darlington;Alan Milburn;4;Teesside;66540;10490;20962;7448;0;28;1250
Dartford;Howard Stoate;20;Kent;71682;18716;19822;4114;0;0;2659
Daventry;Tim Boswell;13;Northamptonshire;69962;25085;14030;6873;0;0;1355
Denton and Reddish;Andrew Gwynne;6;Eastern Manchester;65133;6169;19854;5619;0;0;2229
Derby North;Bob Laxton;10;Derbyshire;63694;9811;17542;11143;0;0;1768
Derby South;Margaret Beckett;10;Derbyshire;63330;7336;19811;10114;0;0;2493
Derbyshire Dales;Patrick McLoughlin;10;Derbyshire;61669;22555;8761;9824;0;0;1266
Derbyshire Mid;Unknown (new seat);10;Derbyshire;63939;18989;14912;6610;0;224;1313
Derbyshire North East;Natascha Engel;10;Derbyshire;70271;11195;20497;9269;0;0;1975
Derbyshire South;Mark Todd;10;Derbyshire;66884;17171;19790;5337;0;0;1600
Devizes;Michael Ancram;15;Wiltshire;65130;22647;9481;8303;0;0;2183
Devon Central;Unknown (new seat);18;Devon;66993;21809;4760;15354;0;0;4419
Devon East;Hugo Swire;18;Devon;70502;23990;7282;13355;0;0;3975
Devon North;Nick Harvey;18;Devon;72195;17595;4422;22848;0;0;4333
Devon South West;Gary Streeter;18;Devon;68405;21386;11093;11245;0;0;3170
Devon West and Torridge;Unknown (changed seat);18;Devon;72133;19637;5771;19689;0;0;5475
Dewsbury;Shahid Malik;7;West Yorkshire;75988;13587;18979;7515;0;3702;2691
Don Valley;Caroline Flint;8;South Yorkshire;71887;10084;20623;6746;0;777;988
Doncaster Central;Rosie Winterton;8;South Yorkshire;72587;7285;18796;9118;0;100;2557
Doncaster North;Ed Miliband;8;South Yorkshire;71696;7122;19634;6131;0;1488;2052
Dorset Mid and Poole North;Annette Brooke;18;Dorset;62778;16248;4308;21623;0;0;1116
Dorset North;Robert Walter;18;Dorset;70654;22610;5208;18661;0;0;3591
Dorset South;Jim Knight;18;Dorset;70668;18419;20230;7647;0;1570;717
Dorset West;Oliver Letwin;18;Dorset;69764;24763;4121;22301;0;0;2037
Dover;Gwyn Prosser;20;Kent;71467;16863;21928;7632;0;0;1830
Dudley North;Ian Austin;9;Black Country;59900;11551;15539;3970;0;3362;1646
Dudley South;Ian Pearson;9;Black Country;59833;12387;15845;4789;0;0;3007
Dulwich and West Norwood;Tessa Jowell;17;Lambeth;70047;9588;17879;9005;0;1901;1088
Durham North;Kevan Jones;4;Durham;67507;6258;23931;7153;0;0;0
Durham North West;Hilary Armstrong;4;Durham;68109;6461;21303;7868;0;0;3864
Durham, City of;Roberta Blackman-Woods;4;Durham;71442;4179;20928;17655;0;0;1603
Ealing Central and Acton;Andrew Slaughter;17;Ealing;69548;12381;12916;11342;0;0;2706
Ealing North;Stephen Pound;17;Ealing;72680;12430;20175;8401;0;0;2095
Ealing Southall;Piara Khabra;17;Ealing;62588;6867;19584;7007;0;0;1704
Easington;John Cummings;4;Durham;61945;3399;23207;4163;0;0;1625
East Ham;Stephen Timms;16;Newham;82846;5870;22413;4361;0;8409;699
Eastbourne;Nigel Waterson;20;East Sussex;73889;20628;5256;19879;0;0;2188
Eastleigh;Christopher Huhne;19;Hampshire;74263;17939;10051;18442;0;0;1669
Eddisbury;Stephen O'Brien;11;Cheshire;66467;19992;13417;8022;0;0;571
Edmonton;Andy Love;16;Enfield;61558;10639;20561;4039;0;0;1336
Ellesmere Port and Neston;Andrew Miller;11;Cheshire;68181;13833;20448;6550;0;0;1204
Elmet and Rothwell;Colin Burgon;7;West Yorkshire;75553;17667;22270;9355;0;130;996
Eltham;Clive Efford;17;Greenwich;64028;13186;16233;6698;0;0;2622
Enfield North;Unknown (changed seat);16;Enfield;64256;16562;16287;4554;0;0;2224
Enfield Southgate;David Burrowes;16;Enfield;63021;18147;16746;4935;0;0;1636
Epping Forest;Eleanor Laing;14;Essex;69817;22372;9286;8086;0;0;3308
Epsom and Ewell;Chris Grayling;19;Surrey;73704;26641;9571;10699;0;0;1769
Erewash;Liz Blackman;10;Derbyshire;68711;12981;20388;5754;0;2731;2462
Erith and Thamesmead;John Austin;17;Bexley;70127;10038;19926;4553;0;0;3220
Esher and Walton;Ian Taylor;19;Surrey;76926;21882;9308;14156;0;0;2532
Exeter;Ben Bradshaw;18;Devon;77112;12940;21386;10830;0;0;4822
Fareham;Mark Hoban;19;Hampshire;72600;24151;12448;10552;0;0;1426
Faversham and Kent Mid;Hugh Robertson;20;Kent;64999;21411;12539;6753;0;0;1998
Feltham and Heston;Alan Keen;17;Hounslow;80206;11457;19308;6660;0;0;2483
Filton and Bradley Stoke;Unknown (new seat);15;Bristol area;66198;15566;14104;11457;0;0;2035
Finchley and Golders Green;Unknown (changed seat);16;Barnet;67315;16634;16353;7137;0;0;1497
Folkestone and Hythe;Michael Howard;20;Kent;74822;27878;6286;14950;0;0;1931
Forest of Dean;Mark Harper;15;Gloucestershire;67228;19475;17425;8183;0;0;2555
Fylde;Michael Jack;5;Lancashire;65799;20876;10855;6177;0;0;1647
Gainsborough;Edward Leigh;8;Lincolnshire;68986;19803;11250;12016;0;0;1483
Garston and Halewood;Maria Eagle;5;Merseyside;72064;4156;22054;12133;0;0;711
Gateshead;David Clelland;4;Newcastle area;64488;3789;21562;7305;0;0;1461
Gedling;Vernon Coaker;10;Nottinghamshire;70559;16842;21011;6079;0;0;1141
Gillingham and Rainham;Unknown (changed seat);20;Kent;70517;17992;17909;6749;0;0;1423
Gloucester;Parmjit Dhanda;15;Gloucestershire;75245;17085;21525;6708;0;0;1931
Gosport;Peter Viggers;19;Hampshire;71121;19270;13539;7147;0;0;3081
Grantham and Stamford;Quentin Davies;8;Lincolnshire;72751;21010;14760;7867;0;0;2631
Gravesham;Adam Holloway;20;Kent;68704;19739;19087;4851;0;0;1505
Great Grimsby;Austin Mitchell;8;Humber area;63710;7857;15513;6357;0;0;3239
Great Yarmouth;Tony Wright;13;Norfolk;68886;15794;18849;4585;0;0;2148
Greenwich and Woolwich;Nick Raynsford;17;Greenwich;62406;6297;18311;7056;0;0;3022
Guildford;Unknown (changed seat);19;Surrey;73824;21779;5070;21884;0;0;1737
Hackney North and Stoke Newington;Diane Abbott;16;Hackney;63309;4514;15093;7254;0;2849;1690
Hackney South and Shoreditch;Meg Hillier;16;Hackney;60768;4228;16223;6433;0;58;3278
Halesowen and Rowley Regis;Sylvia Heal;9;Black Country;65669;15143;18919;5180;0;0;1952
Halifax;Linda Riordan;7;West Yorkshire;64998;13198;16624;7095;0;0;2844
Haltemprice and Howden;David Davis;8;Humber area;68096;22627;6065;17617;0;0;1436
Halton;Derek Twigg;11;Cheshire;68803;7254;23246;6096;0;0;112
Hammersmith;Unknown (changed seat);16;Hammersmith and Fulham;68198;13676;18409;7622;0;0;1132
Hampshire East;Michael Mates;19;Hampshire;70436;24553;5637;15562;0;0;662
Hampshire North East;James Arbuthnot;19;Hampshire;68361;21910;9295;10803;0;0;1683
Hampshire North West;Sir George Young;19;Hampshire;75727;24489;10086;12173;0;0;1926
Hampstead and Kilburn;Unknown (changed seat);16;Camden;76628;9609;14971;15592;0;0;2250
Harborough;Edward Garnier;10;Leicestershire;75159;20623;9421;16724;0;0;1538
Harlow;Bill Rammell;14;Essex;63222;16119;16591;4951;0;0;2121
Harrogate and Knaresborough;Phil Willis;7;North Yorkshire;74274;16899;4100;26153;0;0;1433
Harrow East;Tony McNulty;16;Harrow;69502;16320;19244;5863;0;0;608
Harrow West;Gareth Thomas;16;Harrow;65853;12965;19547;8087;0;0;1210
Hartlepool;Iain Wright;4;Teesside;68776;4057;18249;10773;0;0;2352
Harwich and North Essex;Bernard Jenkin;14;Essex;71106;18953;15391;9023;0;0;2809
Hastings and Rye;Michael Foster;20;East Sussex;76254;17566;18382;7055;0;0;2367
Havant;David Willetts;19;Hampshire;68002;18198;11792;8294;0;0;2740
Hayes and Harlington;John McDonnell;17;Hillingdon;64840;10252;20797;3396;0;0;2308
Hazel Grove;Andrew Stunell;6;Eastern Manchester;63030;11572;6360;19381;0;0;1231
Hemel Hempstead;Michael Penning;14;Hertfordshire;71891;18591;18404;7856;0;0;1483
Hemsworth;Jon Trickett;7;West Yorkshire;70601;8467;22459;6023;0;0;1774
Hendon;Andrew Dismore;16;Barnet;68872;14930;18117;5685;0;0;1422
Henley;Boris Johnson;15;Oxfordshire;72681;26281;7051;13040;0;0;2846
Hereford and South Herefordshire;Paul Keetch;11;Hereford and Worcestershire;69847;18502;4744;19964;0;0;2408
Herefordshire North;Bill Wiggin;11;Hereford and Worcestershire;65699;22499;6855;11652;0;0;3411
Hertford and Stortford;Mark Prisk;14;Hertfordshire;72707;24752;11934;9047;0;0;3492
Hertfordshire North East;Oliver Heald;14;Hertfordshire;71943;23013;13351;9235;0;0;1577
Hertfordshire South West;David Gauke;14;Hertfordshire;74373;23904;10565;15253;0;0;1142
Hertsmere;James Clappison;14;Hertfordshire;67572;22665;11572;7817;0;0;518
Hexham;Peter Atkinson;4;Northumberland;59867;17476;12451;10631;0;0;615
Heywood and Middleton;Jim Dobbin;6;Eastern Manchester;76126;8891;20392;8107;0;0;4358
High Peak;Tom Levitt;10;Derbyshire;69483;15716;19807;9516;0;0;1105
Hitchin and Harpenden;Peter Lilley;14;Hertfordshire;69751;24015;10811;13198;0;0;1031
Holborn and St Pancras;Frank Dobson;16;Camden;85188;8981;19491;11401;0;0;3899
Hornchurch and Upminster;Angela Watkinson;16;Havering;77165;23127;16167;4290;0;1455;3715
Hornsey and Wood Green;Lynne Featherstone;16;Haringey;76622;6013;18116;20512;0;0;2685
Horsham;Francis Maude;20;West Sussex;74566;24509;8750;13740;0;0;3199
Houghton and Sunderland South;Fraser Kemp;4;Newcastle area;69512;5429;23586;4972;0;0;1265
Hove;Celia Barlow;20;East Sussex;70296;16391;16848;8106;0;31;3645
Huddersfield;Barry Sheerman;7;West Yorkshire;62446;7460;16375;8453;0;0;3172
Hull East;John Prescott;8;Humber area;67953;4251;18090;6408;0;0;3573
Hull North;Diana Johnson;8;Humber area;60279;3733;14940;7494;0;0;2328
Hull West and Hessle;Alan Johnson;8;Humber area;61259;5745;15252;5829;0;0;887
Huntingdon;Jonathan Djanogly;13;Cambridgeshire;78432;25128;9215;12703;0;0;1990
Hyndburn;Greg Pope;5;Lancashire;68175;12772;18320;5819;0;0;3207
Ilford North;Lee Scott;16;Redbridge;69300;18427;16744;5798;0;0;1167
Ilford South;Mike Gapes;16;Redbridge;79639;11627;20856;8761;0;0;1448
Ipswich;Chris Mole;13;Suffolk;72820;13692;19425;9263;0;0;2165
Isle of Wight;Andrew Turner;19;Hampshire;109045;32717;11483;19737;0;0;2904
Islington North;Jeremy Corbyn;16;Islington;58427;3740;16117;9401;0;0;2234
Islington South and Finsbury;Emily Thornberry;16;Islington;57748;4595;12345;11859;0;0;2161
Jarrow;Stephen Hepburn;4;Newcastle area;63372;4237;21075;7810;0;0;1719
Keighley;Ann Cryer;7;West Yorkshire;68228;15868;20719;5484;0;0;4241
Kenilworth and Southam;Unknown (new seat);10;Warwickshire;62919;21853;11294;8882;0;0;1011
Kensington;Sir Malcolm Rifkind;16;Kensington and Chelsea;61682;14133;9031;6179;0;0;2297
Kettering;Philip Hollobone;13;Northamptonshire;65855;19656;19552;4311;0;0;1231
Kingston and Surbiton;Edward Davey;17;Kingston upon Thames;73341;16558;6610;25659;0;0;1411
Kingswood;Roger Berry;15;Bristol area;64921;15109;20442;8078;0;0;362
Knowsley;Eddie O'Hara;5;Merseyside;78857;3200;31449;5276;0;0;1140
Lancashire West;Rosie Cooper;5;Lancashire;74776;14662;20746;6060;0;0;1688
Lancaster and Fleetwood;Unknown (changed seat);5;Lancashire;63880;11157;17947;7071;0;0;3639
Leeds Central;Hilary Benn;7;West Yorkshire;75357;4961;21430;8653;0;160;2088
Leeds East;George Mudie;7;West Yorkshire;63155;8067;21255;5611;0;0;733
Leeds North East;Fabian Hamilton;7;West Yorkshire;66460;13079;19547;9450;0;0;1166
Leeds North West;Greg Mulholland;7;West Yorkshire;65582;11004;13386;14916;0;0;1797
Leeds West;John Battle;7;West Yorkshire;66068;5011;19857;6056;0;0;4603
Leicester East;Keith Vaz;10;Leicestershire;67434;8169;24677;6515;0;0;2366
Leicester South;Peter Soulsby;10;Leicestershire;72388;7558;16705;12976;0;0;5212
Leicester West;Patrica Hewitt;10;Leicestershire;61261;8073;16505;6335;0;0;1848
Leicestershire North West;David Taylor;10;Leicestershire;70519;16972;21448;5682;0;0;3036
Leicestershire South;Andrew Robathan;10;Leicestershire;74634;22252;14417;9303;0;0;2887
Leigh;Andrew Burnham;6;Western Manchester;75877;5461;24157;5867;0;141;3316
Lewes;Norman Baker;20;East Sussex;66977;15894;4181;24241;0;0;2098
Lewisham Deptford;Joan Ruddock;17;Lewisham;66714;4393;19167;6073;0;3337;1808
Lewisham East;Bridget Prentice;17;Lewisham;66762;9077;17683;7598;0;29;2852
Lewisham West and Penge;Jim Dowd;17;Lewisham;69632;9144;18490;11528;0;0;2227
Leyton and Wanstead;Harry Cohen;16;Waltham Forest;61860;7747;15617;8474;0;0;2295
Lichfield;Michael Fabricant;11;Staffordshire;70347;22805;14847;7413;0;0;1597
Lincoln;Gillian Merron;8;Lincolnshire;69805;14253;17358;6788;0;0;1574
Liverpool Riverside;Louise Ellman;5;Merseyside;75325;2988;18549;7501;0;179;2749
Liverpool Walton;Peter Kilfoyle;5;Merseyside;68235;1918;22107;5039;0;1109;635
Liverpool Wavertree;Jane Kennedy;5;Merseyside;67501;2050;17620;13371;0;21;842
Liverpool West Derby;Robert Wareing;5;Merseyside;66494;2649;19342;4795;0;3405;1514
Loughborough;Andy Reed;10;Leicestershire;73298;17433;19301;8334;0;0;1699
Louth and Horncastle;Sir Peter Tapsell;8;Lincolnshire;74950;21223;12192;9149;0;0;3946
Ludlow;Philip Dunne;11;Shropshire;64571;20980;4972;18950;0;0;1634
Luton North;Kelvin Hopkins;13;Bedfordshire;68387;12604;19112;6108;0;0;1412
Luton South;Margaret Moran;13;Bedfordshire;71739;10930;16561;8749;0;0;2560
Macclesfield;Sir Nicholas Winterton;11;Cheshire;72539;22718;13268;8960;0;0;849
Maidenhead;Theresa May;19;Berkshire;69087;25535;4283;17988;0;0;1298
Maidstone and The Weald;Ann Widdecombe;20;Kent;67614;22903;9939;10449;0;0;1227
Makerfield;Ian McCartney;6;Western Manchester;74255;5519;23369;4293;0;2223;2634
Maldon;John Whittingdale;14;Essex;67224;25118;11014;6477;0;0;1425
Manchester Central;Tony Lloyd;6;Central Manchester;72709;3315;18922;6336;0;1124;1339
Manchester Gorton;Sir Gerald Kaufman;6;Central Manchester;70853;3162;16311;10858;0;133;1160
Manchester Withington;John Leech;6;Central Manchester;69242;3971;15512;16055;0;36;2497
Mansfield;Alan Meale;10;Nottinghamshire;78135;7035;22768;6183;0;6492;1033
Meon Valley;Unknown (new seat);19;Hampshire;68538;20120;5009;19891;0;0;2190
Meriden;Caroline Spelman;9;Coventry and Solihull;80213;23195;15754;7822;0;0;1807
Middlesbrough;Sir Stuart Bell;4;Teesside;65976;5365;18631;5936;0;0;2330
Middlesbrough South and Cleveland East;Ashok Kumar;4;Teesside;71831;13840;21875;6106;0;0;1745
Milton Keynes North;Unknown (changed seat);14;Buckinghamshire;79336;17717;19182;9872;0;0;3119
Milton Keynes South;Phyllis Starkey;14;Buckinghamshire;81648;18810;19689;7828;0;0;2599
Mitcham and Morden;Siobhain McDonagh;17;Merton;64914;9820;22562;5479;0;0;1885
Mole Valley;Sir Paul Beresford;19;Surrey;68180;27061;5310;15062;0;0;1981
Morecambe and Lunesdale;Geraldine Smith;5;Lancashire;66847;15318;20277;5468;0;0;0
Morley and Outwood;Colin Challen;7;West Yorkshire;70417;10138;21043;2638;0;4317;2977
