"date_char","Any Other Party or Candidate_Back","Any Other Party or Candidate_Lay","Conservative_Back","Conservative_Lay","Green_Back","Green_Lay","Labour_Back","Labour_Lay","Liberal Democrat_Back","Liberal Democrat_Lay","Pub Landlord - Al Murray_Back","Pub Landlord - Al Murray_Lay","UKIP_Back","UKIP_Lay"
"12/02/2015 08:05:04",NA,NA,2.76,2.9,4.2,1000,12.5,19,4.2,1000,40,1000,1.62,1.78
"13/02/2015 09:47:06",NA,NA,2.76,2.9,4.2,1000,12.5,19,4.2,1000,40,1000,1.62,1.75
"13/02/2015 18:39:43",NA,NA,2.02,2.7,4.2,1000,13.5,19,4.2,1000,40,1000,1.64,1.79
"14/02/2015 11:54:44",NA,NA,2.2,2.7,2,1000,14,19,2,1000,40,1000,1.67,1.75
"14/02/2015 20:40:50",NA,NA,2.52,2.7,2,1000,14,19,2,1000,40,1000,1.68,1.78
"15/02/2015 08:14:45",NA,NA,2.52,2.7,2,1000,14.5,19,2,1000,40,1000,1.68,1.78
"16/02/2015 10:38:14",NA,NA,2.6,2.9,50,1000,13.5,19,2,1000,42,1000,1.64,1.77
"16/02/2015 16:24:46",NA,NA,2.6,2.9,50,1000,13.5,19,2,1000,42,1000,1.64,1.77
"17/02/2015 09:29:48",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.65,1.75
"18/02/2015 15:31:57",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.65,1.75
"19/02/2015 11:38:51",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.65,1.74
"19/02/2015 18:15:55",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.65,1.74
"20/02/2015 08:33:45",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.64,1.74
"20/02/2015 19:32:11",NA,NA,2.64,2.9,50,1000,13.5,19,2,1000,42,1000,1.65,1.74
"21/02/2015 13:46:10",NA,NA,2.7,2.86,50,1000,13.5,19,2,1000,40,1000,1.67,1.7
"22/02/2015 11:37:53",NA,NA,2.7,2.78,50,1000,12.5,19,2,1000,65,1000,1.63,1.74
"22/02/2015 22:46:20",NA,NA,2.7,3.85,50,1000,12.5,19,2,1000,65,1000,1.63,1.74
"23/02/2015 11:05:02",NA,NA,2.7,3.85,50,1000,12.5,19,2,1000,65,1000,1.63,1.74
"23/02/2015 19:39:11",NA,NA,2.7,2.94,50,1000,11.5,17,2,1000,75,1000,1.63,1.74
